researcher,degree,betweenness,closeness,pagerank,classe
Riegler M.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Stachura D.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Tran A.,0.8103448275862069,0.0,0.7411764705882353,0.0078584112787493,7
Zhang Z.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Zhou J.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Tao K.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Wen Z.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Wang T.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Ning P.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Zhang W.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Yang X.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Xu W.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Mao Y.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Zheng R.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Ying R.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Mu Y.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Chen Q.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Tang X.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Cao Q.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Chu S.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Liu Z.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Ling L.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Kang J.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Liang Z.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Cai J.,0.2068965517241379,0.0,0.0,0.0074074074074074,6
Kong X.,0.1551724137931034,0.0,0.0,0.0074074074074074,1
Chen J.,0.0689655172413793,0.0,0.0,0.0074074074074074,11
Lin S.,0.0172413793103448,0.0,0.0,0.0074074074074074,10
Radji W.,0.0517241379310344,0.0,0.0,0.0074074074074074,9
Maillard O.,0.0517241379310344,0.0,0.0,0.0074074074074074,9
Ho M.,0.0689655172413793,0.0,0.0,0.0074074074074074,11
